OTU;plaque_1_its_B1;plaque_1_its_B10;plaque_1_its_B11;plaque_1_its_B12;plaque_1_its_B13;plaque_1_its_B14;plaque_1_its_B15;plaque_1_its_B16;plaque_1_its_B17;plaque_1_its_B18;plaque_1_its_B19;plaque_1_its_B2;plaque_1_its_B20;plaque_1_its_B21;plaque_1_its_B22;plaque_1_its_B23;plaque_1_its_B24;plaque_1_its_B25;plaque_1_its_B26;plaque_1_its_B27;plaque_1_its_B28;plaque_1_its_B29;plaque_1_its_B3;plaque_1_its_B30;plaque_1_its_B31;plaque_1_its_B32;plaque_1_its_B33;plaque_1_its_B34;plaque_1_its_B35;plaque_1_its_B36;plaque_1_its_B37;plaque_1_its_B38;plaque_1_its_B39;plaque_1_its_B4;plaque_1_its_B40;plaque_1_its_B41;plaque_1_its_B42;plaque_1_its_B43;plaque_1_its_B44;plaque_1_its_B45;plaque_1_its_B46;plaque_1_its_B47;plaque_1_its_B48;plaque_1_its_B49;plaque_1_its_B5;plaque_1_its_B50;plaque_1_its_B51;plaque_1_its_B52;plaque_1_its_B53;plaque_1_its_B54;plaque_1_its_B55;plaque_1_its_B56;plaque_1_its_B57;plaque_1_its_B58;plaque_1_its_B59;plaque_1_its_B6;plaque_1_its_B60;plaque_1_its_B61;plaque_1_its_B62;plaque_1_its_B63;plaque_1_its_B64;plaque_1_its_B65;plaque_1_its_B66;plaque_1_its_B67;plaque_1_its_B68;plaque_1_its_B69;plaque_1_its_B7;plaque_1_its_B70;plaque_1_its_B71;plaque_1_its_B72;plaque_1_its_B73;plaque_1_its_B74;plaque_1_its_B75;plaque_1_its_B76;plaque_1_its_B77;plaque_1_its_B78;plaque_1_its_B79;plaque_1_its_B8;plaque_1_its_B80;plaque_1_its_B81;plaque_1_its_B82;plaque_1_its_B83;plaque_1_its_B84;plaque_1_its_B85;plaque_1_its_B86;plaque_1_its_B87;plaque_1_its_B88;plaque_1_its_B89;plaque_1_its_B9;plaque_1_its_B90;plaque_1_its_B91;plaque_1_its_B92;plaque_1_its_B93;plaque_1_its_B94
MG231543.1;8;41;9;3;12;8;48;0;7;25;4;18;6;67;3;10;7;8;5;7;27;18;2;13;80;26;6;9;24;79;14;48;3;3;6;7;22;32;18;17;15;10;18;42;2;25;93;46;9;15;8;49;16;43;14;61;27;17;40;32;123;79;168;327;54;255;13;266;172;38;60;131;14;188;93;77;45;31;8;35;9;24;22;46;20;285;22;91;47;51;89;73;33;113
MH857371.1;18;1;127;6;173;352;22;149;199;59;1154;38;626;100;75;98;28;385;41;39;72;15;22;287;53;814;84;36;101;197;55;99;91;228;58;105;124;86;66;72;136;32;22;57;54;50;89;29;61;20;12;93;166;134;53;250;134;52;38;19;61;96;2;61;46;16;456;46;1;42;12;144;24;1;22;31;75;375;11;63;14;43;41;23;47;2;45;14;182;0;18;17;45;12
MF795575.1;390;67;0;1;2;12;21;0;2;7;0;165;1;7;1;0;0;1;2;6;7;0;15;0;3;0;0;0;1;0;1;5;0;0;1;0;1;2;0;1;0;1;0;0;6;1;2;0;3;1;0;0;0;3;1;88;1;0;1;0;28;10;20;56;1;26;21;37;0;3;22;16;10;18;3;26;16;39;6;28;2;41;18;58;10;112;29;61;42;22;36;304;41;511
AY854082.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;22;0;0;0;0;0;3;0;1;0;14;0;11;0;0;0;0;2;0;0;21;3;13;5;8;0;16;9;31;11;7
MK442607.1;19;3;4;4;5;2;1;2;5;1;0;3;0;1;12;14;4;6;2;1;13;2;3;13;6;4;2;1;16;2;22;16;2;2;2;2;17;6;30;12;1;6;3;21;1;9;43;9;7;0;5;11;13;132;8;2;6;3;4;8;62;117;6;11;11;9;2;12;8;312;10;25;14;7;16;28;102;2;13;7;9;47;16;77;284;13;103;54;0;2;48;65;162;20
AY211019.1;7;1;2;2;4;4;3;7;1;3;5;4;3;6;8;3;5;5;1;3;8;5;6;7;3;6;5;3;1;4;8;19;9;3;5;6;11;15;54;22;32;23;21;55;2;15;333;86;134;25;122;49;534;3112;198;8;381;181;616;391;281;166;941;1196;224;507;4;977;1201;69;367;510;310;427;477;351;472;3;375;226;229;783;394;163;211;534;176;2360;5;1429;348;283;253;72
JN164993.1;0;1;0;0;0;7;31;0;0;0;1;0;0;0;7;6;8;0;0;6;0;0;0;2;3;5;0;1;8;1;7;0;0;0;0;1;2;14;3;1;1;1;10;11;0;2;15;1;6;5;0;12;0;1;1;27;0;2;9;12;0;8;19;17;0;15;0;1;0;0;5;0;0;44;27;0;5;5;0;0;0;4;13;21;4;65;6;16;0;1;19;0;11;23
HQ153409.1;8;0;0;0;6;0;4;0;0;2;0;0;0;9;1;0;1;1;0;0;0;1;0;2;13;1;6;0;3;14;4;2;0;0;1;0;1;7;4;0;0;1;1;2;1;0;13;0;1;0;2;5;2;4;2;1;0;1;12;1;9;9;15;102;47;34;2;19;0;7;3;29;0;39;7;8;6;0;0;18;0;9;13;0;0;39;6;8;0;78;22;21;7;18
HM131313.1;6;1;3;2;0;4;2;0;0;15;3;2;1;1;1;1;10;1;0;1;1;1;2;1;54;1;0;0;1;1;1;13;0;90;0;0;2;3;7;5;2;4;3;2;0;1;9;21;1;1;1;4;6;14;27;65;4;1;1;1;21;11;33;11;4;4;3;21;91;10;9;3;0;15;6;20;22;5;2;2;0;5;6;9;22;38;1;0;11;0;7;40;43;25
HQ643127.1;1;1;1;0;10;6;0;0;0;7;7;0;3;15;2;0;0;83;3;1;31;0;2;2;0;4;9;0;1;0;0;0;1;0;0;0;12;1;1;0;1;0;1;44;1;0;0;1;0;2;1;2;0;0;0;55;0;1;1;106;0;3;0;21;0;26;2;92;1;0;0;7;1;1;70;0;1;9;0;0;2;2;3;1;0;0;7;22;12;1092;17;0;0;1
