otu,Domain,Phylum,Class,Order,Family,Genus,Species
KX752606.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Irpicaceae,g__Ceriporia,s__Ceriporia_sordescens
EU517523.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Mycenaceae,g__Panellus,s__Panellus_stipticus
MK418793.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Cucurbitariaceae,g__Protofenestella,s__Protofenestella_ulmi
KU728503.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Dothideales,f__Dothioraceae,g__Dothiora,s__Dothiora_laureolae
KX962544.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Perenniporiopsis,s__Perenniporiopsis_minutissima
KT389545.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Stagonosporopsis,s__Stagonosporopsis_helianthi
EU267188.1,k__Eukaryota,p__Zoopagomycota,c__Opisthokonta,o__Entomophthorales,f__Entomophthoraceae,g__Pandora,s__Pandora_neoaphidis
OM955809.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meruliaceae,g__Pseudophlebia,s__Pseudophlebia_semisupina
AB481285.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Solenopeziaceae,g__Trichopeziza,s__Trichopeziza_mollissima
MT934981.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Cortinarius_comptulus
MH861763.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Septoriella,s__Septoriella_leuchtmannii
JF937581.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Lachnaceae,g__Lachnum,s__Lachnum_cf._hyalopus_3630
KP814429.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Radulomycetaceae,g__Radulomyces,s__Radulomyces_notabilis
JN592510.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Steccherinaceae,g__Flaviporus,s__Flaviporus_americanus
MF183941.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Cystostereaceae,g__Crustomyces,s__Crustomyces_subabruptus
MT319662.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Schizoporaceae,g__Xylodon,s__Xylodon_nespori
KU376423.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Theleporus,s__Theleporus_calcicolor
JQ070175.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Cerrenaceae,g__Radulodon,s__Radulodon_americanus
MK412360.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Bolbitiaceae,g__Conocybe,s__Conocybe_mesospora
KP135191.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Phanerochaetaceae,g__Phanerochaete,s__Phanerochaete_rhodella
MK520874.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Amylocorticiales,f__Amylocorticiaceae,g__Amylocorticium,s__Amylocorticium_indicum
KM107902.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Postiaceae,g__Postia,s__Postia_ochraceoalba
JN040510.1,k__Eukaryota,p__Ascomycota,c__leotiomyceta,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,s__Knufia_endospora
AF444494.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricostilbales,f__Chionosphaeraceae,g__Kurtzmanomyces,s__Kurtzmanomyces_nectairei
KX525686.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,s__Rhodotorula_kratochvilovae
